"","beta","alpha","gamma","W","c","v","r","k","sigma","spec","transformation"
"15",1563.75159261232,1625836.98199308,1251.00127408986,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"gamma","0.888888888888888"
"16",1563.75159261232,1625836.98199308,1485.5640129817,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"gamma","1.05555555555555"
"17",1563.75159261232,1625836.98199308,1563.59521745306,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"gamma","1.111"
"18",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"c","0"
"19",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"c","2"
"20",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"c","5"
"21",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"c","8"
"22",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"c","10"
"23",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"c","15"
"24",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"c","20"
"25",1563.75159261232,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"c","50"
"26",1563.75159261232,812918.49099654,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"alpha","0.5"
"27",1563.75159261232,975502.189195848,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"alpha","0.6"
"28",1563.75159261232,1300669.58559446,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"alpha","0.8"
"29",1563.75159261232,1951004.3783917,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"alpha","1.2"
"30",1563.75159261232,2276171.77479031,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"alpha","1.4"
"31",1563.75159261232,2601339.17118893,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"alpha","1.6"
"32",1563.75159261232,2926506.56758754,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"alpha","1.8"
"33",1563.75159261232,3251673.96398616,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"alpha","2"
"34",1563.75159261232,1625836.98199308,1407.37643335109,1.31543290586806,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"W","0.602391818682238"
"35",1563.75159261232,1625836.98199308,1407.37643335109,3.74653378332899,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"W","1.71569472637198"
"36",1563.75159261232,1625836.98199308,1407.37643335109,4.36736643849392,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"W","2"
"37",1563.75159261232,1625836.98199308,1407.37643335109,8.73473287698784,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"W","4"
"38",1563.75159261232,1625836.98199308,1407.37643335109,13.1020993154818,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"W","6"
"39",781.87579630616,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"beta","0.5"
"40",1251.00127408986,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"beta","0.8"
"41",1876.50191113478,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"beta","1.2"
"42",2345.62738891848,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"beta","1.5"
"43",2814.75286670218,1625836.98199308,1407.37643335109,2.18368321924696,0,89929.9153285874,0.201282685349239,20226,0.0000200307674145246,"beta","1.8"
