"","x","names","values","AC","W_mid","W1","W2","quantile","lag_sign","Stable"
"562",17239.5,"ss_monop_lq",0.0699814974428818,8385.34356190833,2.18368321924696,6708,0.436808219246961,"80",2,"Stable"
"574",2550.5,"ss_monop_lq",-0.0253548919375248,8385.34356190833,2.18368321924696,7546.5,0.218448844246961,"90",-2,"Unstable"
"585",17240.5,"ss_monop_lq",0.0361886346906886,8385.34356190833,2.18368321924696,7546.5,0.218448844246961,"90",2,"Stable"
"602",2694.5,"ss_monop_lq",0.0644331295561642,8385.34356190833,2.18368321924696,8385,0.0000894692469614711,"100",2,"Stable"
"603",2695,"ss_monop_lq",-0.000171713618101421,8385.34356190833,2.18368321924696,8385,0.0000894692469614711,"100",-2,"Unstable"
"614",17241.5,"ss_monop_lq",0.00195515692496429,8385.34356190833,2.18368321924696,8385,0.0000894692469614711,"100",2,"Stable"
"632",17261,"ss_monop_lq",0.0181533990875096,14386.6897279833,3.74653378332899,1438.6,3.37189836666233,"10",2,"Stable"
"651",17263,"ss_monop_lq",0.000136541269284862,14386.6897279833,3.74653378332899,2877.2,2.99726294999566,"20",2,"Stable"
"670",17265.5,"ss_monop_lq",0.0525367551841782,14386.6897279833,3.74653378332899,4315.8,2.62262753332899,"30",2,"Stable"
"687",17267.5,"ss_monop_lq",0.0319505705273855,14386.6897279833,3.74653378332899,5754.4,2.24799211666233,"40",2,"Stable"
"705",17269.5,"ss_monop_lq",0.0100688510297573,14386.6897279833,3.74653378332899,7193,1.87335669999566,"50",2,"Stable"
"723",17272,"ss_monop_lq",0.0585886229736161,14386.6897279833,3.74653378332899,8631.6,1.49872128332899,"60",2,"Stable"
"741",17274,"ss_monop_lq",0.0340944805045638,14386.6897279833,3.74653378332899,10070.2,1.12408586666233,"70",2,"Stable"
"758",17276,"ss_monop_lq",0.00828300710270469,14386.6897279833,3.74653378332899,11508.8,0.74945044999566,"80",2,"Stable"
"767",953.5,"ss_monop_lq",0.0363206121880921,14386.6897279833,3.74653378332899,12947.4,0.374815033328993,"90",2,"Stable"
"774",1995,"ss_monop_lq",-0.0201791236405029,14386.6897279833,3.74653378332899,12947.4,0.374815033328993,"90",-2,"Unstable"
"787",17278.5,"ss_monop_lq",0.0528571461347838,14386.6897279833,3.74653378332899,12947.4,0.374815033328993,"90",2,"Stable"
"797",2386,"ss_monop_lq",-0.0196219194182277,14386.6897279833,3.74653378332899,14386,0.000179616662326509,"100",-2,"Unstable"
"808",17280.5,"ss_monop_lq",0.0243892502991798,14386.6897279833,3.74653378332899,14386,0.000179616662326509,"100",2,"Stable"
"105",1781,"ss_bertrand_lq",-0.026749075166606,5051.26235853333,1.31543290586806,505.1,1.18389644753472,"10",-2,"Unstable"
"109",17001,"ss_bertrand_lq",0.0326610425656781,5051.26235853333,1.31543290586806,505.1,1.18389644753472,"10",2,"Stable"
"133",1791.5,"ss_bertrand_lq",-0.0567136110802267,5051.26235853333,1.31543290586806,1010.2,1.05235998920139,"20",-2,"Unstable"
"147",17003.5,"ss_bertrand_lq",0.0426004586776116,5051.26235853333,1.31543290586806,1010.2,1.05235998920139,"20",2,"Stable"
"166",1804.5,"ss_bertrand_lq",-0.0424962221588316,5051.26235853333,1.31543290586806,1515.3,0.920823530868055,"30",-2,"Unstable"
"178",17006,"ss_bertrand_lq",0.0486820607134177,5051.26235853333,1.31543290586806,1515.3,0.920823530868055,"30",2,"Stable"
