"","identifier","names","names_2","x","values","lag_sign","Stable","beta","alpha","gamma","W","W1","W2","c","v","r","k","interest_rate","sigma","spec","transformation","id_2"
"253",76,"ss_monop_lq","ss_monop_lq1",17290.5,0.0686840159831945,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= Inf and v= 0.02",1
"254",76,"ss_bertrand_lq","ss_bertrand_lq1",17316,0.0255628758465036,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= Inf and v= 0.02",1
"255",76,"ss_cournot_lq","ss_cournot_lq1",18242.5,0.0753078751588419,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= Inf and v= 0.02",1
"256",77,"ss_monop_lq","ss_monop_lq1",17290.5,0.0686840159831945,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 35921.97 and v= 0.03",1
"257",77,"ss_bertrand_lq","ss_bertrand_lq1",17357.5,0.052678176950451,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 35921.97 and v= 0.03",1
"258",77,"ss_cournot_lq","ss_cournot_lq1",18251.5,0.0150938554916138,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 35921.97 and v= 0.03",1
"259",78,"ss_monop_lq","ss_monop_lq1",17290.5,0.0686840159831945,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 12570.19 and v= 0.03",1
"260",78,"ss_bertrand_lq","ss_bertrand_lq1",17398.5,0.0388797471680959,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 12570.19 and v= 0.03",1
"261",78,"ss_cournot_lq","ss_cournot_lq1",18261,0.0380211283095946,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 12570.19 and v= 0.03",1
"262",79,"ss_monop_lq","ss_monop_lq1",17290.5,0.0686840159831945,2,"Stable",1563.75159261232,1625836.98199308,1354.24860441064,3.74653378332899,13012.5904513667,0.75,2000,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c","c= 6732.24 and v= 0.04",1
