"","x","names","values","lag_sign","row_params_sensitivity"
"2597",18221,"ss_cournot",0.0556607005318028,2,323
"2598",653.5,"ss_monop_lq",0.0666663064979076,2,324
"2599",2338,"ss_monop_lq",-0.0264825143877374,-2,324
"2600",17235.5,"ss_monop_lq",0.03568222014394,2,324
"2601",1620,"ss_bertrand_lq",-0.0351835183819844,-2,324
"2602",17041.5,"ss_bertrand_lq",0.0404251997800884,2,324
"2603",17146,"ss_bertrand",0.0220267978128277,2,324
"2604",17259,"ss_monop",0.0348647239404727,2,324
"2605",18217,"ss_cournot_lq",0.0120605106873199,2,324
"2606",18221,"ss_cournot",0.0556607005318028,2,324
"2607",2694.5,"ss_monop_lq",0.064401155796304,2,325
"2608",2695,"ss_monop_lq",-0.000203687378302675,-2,325
"2609",17241.5,"ss_monop_lq",0.00192318255244572,2,325
"2610",728.5,"ss_cournot_lq",0.0399301532172842,2,325
"2611",1271,"ss_cournot_lq",-0.0064146267734202,-2,325
"2612",18227,"ss_cournot_lq",0.016670471829741,2,325
"2613",17066,"ss_bertrand_lq",0.00743121855555273,2,325
"2614",17146,"ss_bertrand",0.0220267978128277,2,325
"2615",17259,"ss_monop",0.0348647239404727,2,325
"2616",18221,"ss_cournot",0.0556607005318028,2,325
"2617",1694.5,"ss_bertrand_lq",-0.0402959651750621,-2,326
"2618",16998.5,"ss_bertrand_lq",0.0336982765088578,2,326
"2619",17125.5,"ss_bertrand",0.0107329890985284,2,326
"2620",17229.5,"ss_monop_lq",0.0398968069752073,2,326
"2621",17259,"ss_monop",0.0348647239404727,2,326
"2622",18196.5,"ss_cournot_lq",0.0683588069410916,2,326
"2623",18217.5,"ss_cournot",0.0792581830757513,2,326
"2624",1699,"ss_bertrand_lq",-0.0106790458046362,-2,327
"2625",16997,"ss_bertrand_lq",0.0368823281396544,2,327
"2626",17125.5,"ss_bertrand",0.0107329890985284,2,327
"2627",17229.5,"ss_monop_lq",0.0523210534370264,2,327
"2628",17259,"ss_monop",0.0348647239404727,2,327
"2629",18200,"ss_cournot_lq",0.0538777477190706,2,327
"2630",18217.5,"ss_cournot",0.0792581830757513,2,327
"2631",1660,"ss_bertrand_lq",-0.0585269429388973,-2,328
"2632",17020,"ss_bertrand_lq",0.0433288962283314,2,328
"2633",17125.5,"ss_bertrand",0.0107329890985284,2,328
"2634",17235.5,"ss_monop_lq",0.0263568265346521,2,328
"2635",17259,"ss_monop",0.0348647239404727,2,328
"2636",18210,"ss_cournot_lq",0.0740608079707386,2,328
"2637",18217.5,"ss_cournot",0.0792581830757513,2,328
"2638",653.5,"ss_monop_lq",0.0666663064979076,2,329
"2639",2338,"ss_monop_lq",-0.0264825143877374,-2,329
"2640",17235.5,"ss_monop_lq",0.03568222014394,2,329
"2641",1638,"ss_bertrand_lq",-0.0403857437063948,-2,329
"2642",17019,"ss_bertrand_lq",0.047282938058288,2,329
"2643",17125.5,"ss_bertrand",0.0107329890985284,2,329
"2644",17259,"ss_monop",0.0348647239404727,2,329
"2645",18213.5,"ss_cournot_lq",0.0487810149934944,2,329
"2646",18217.5,"ss_cournot",0.0792581830757513,2,329
"2647",2694.5,"ss_monop_lq",0.064401155796304,2,330
"2648",2695,"ss_monop_lq",-0.000203687378302675,-2,330
"2649",17241.5,"ss_monop_lq",0.00192318255244572,2,330
"2650",724,"ss_cournot_lq",0.053131993408698,2,330
"2651",1279.5,"ss_cournot_lq",-0.0194428136155125,-2,330
"2652",18223.5,"ss_cournot_lq",0.0545049145689518,2,330
"2653",17043.5,"ss_bertrand_lq",0.0407932495569412,2,330
"2654",17125.5,"ss_bertrand",0.0107329890985284,2,330
"2655",17259,"ss_monop",0.0348647239404727,2,330
"2656",18217.5,"ss_cournot",0.0792581830757513,2,330
"2657",1707,"ss_bertrand_lq",-0.0255624589983086,-2,331
"2658",16976.5,"ss_bertrand_lq",0.00999123379904177,2,331
"2659",17105,"ss_bertrand",0.00645577387308549,2,331
"2660",17229.5,"ss_monop_lq",0.0398968069752073,2,331
"2661",17259,"ss_monop",0.0348647239404727,2,331
"2662",18192.5,"ss_cournot_lq",0.0197067673370839,2,331
"2663",18213.5,"ss_cournot",0.0220295774662986,2,331
"2664",1712.5,"ss_bertrand_lq",-0.0261487383757526,-2,332
